;empresa_nome;receita_milhao;cidade;uf;empresa_href;descricao;industria
877;Terra Preta Comercio De Cafe Ltda;0.43;Pedregulho;Sao Paulo;https://www.dnb.com/business-directory/company-profiles.terra_preta_comercio_de_cafe_ltda.ce6a6f5da0a9a368e477909023a40dce.html;TERRA PRETA COMERCIO DE CAFE LTDA is located in PEDREGULHO, SAO PAULO, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee; Roasted coffee"
878;Cafe Brazopolis Ltda;0.43;Brasopolis;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.cafe_brazopolis_ltda.d30f64d77604ba8f859e25502462b1dc.html;CAFE BRAZOPOLIS LTDA is located in BRASOPOLIS, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry. CAFE BRAZOPOLIS LTDA has 8 employees at this location.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
879;Adilson Luiz Dos Santos;0.43;Bonfinopolis De Minas;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.adilson_luiz_dos_santos.5c925110983af57545f9ac67fc90f8f0.html;ADILSON LUIZ DOS SANTOS is located in BONFINOPOLIS DE MINAS, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
880;Blendcafe Armazem E Beneficiamento Eireli;0.43;Varginha;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.blendcafe_armazem_e_beneficiamento_eireli.3ccc1521ba59943e561fa86ec4fd8b12.html;BLENDCAFE ARMAZEM E BENEFICIAMENTO EIRELI is located in VARGINHA, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
881;Lopes Ribeiro E Ribeiro Ltda;0.43;Matupa;Mato Grosso;https://www.dnb.com/business-directory/company-profiles.lopes_ribeiro_e_ribeiro_ltda.b89ad1d8201cfe9420004de2306e2891.html;LOPES RIBEIRO E RIBEIRO LTDA is located in MATUPA, MATO GROSSO, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
882;Incocafe Industria E Comercio De Cafe Ltda;0.43;Aparecida De Goiania;Goias;https://www.dnb.com/business-directory/company-profiles.incocafe_industria_e_comercio_de_cafe_ltda.680f611072ed94dd393d3dcddb22a736.html;INCOCAFE INDUSTRIA E COMERCIO DE CAFE LTDA is located in APARECIDA DE GOIANIA, GOIAS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
883;Saint George Industria E Comercio De Cafe Ltda;0.43;Juiz De Fora;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.saint_george_industria_e_comercio_de_cafe_ltda.13e9a3e667a4c1e6a13ea79abacd4b33.html;SAINT GEORGE INDUSTRIA E COMERCIO DE CAFE LTDA is located in JUIZ DE FORA, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
884;Cafe Gol Ltda;0.43;Leopoldina;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.cafe_gol_ltda.e73c98323f20a2d64e40c97606a8205b.html;CAFE GOL LTDA is located in LEOPOLDINA, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
885;Presidente Industria E Comercio De Cafe Ltda;0.43;Uberlandia;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.presidente_industria_e_comercio_de_cafe_ltda.53428bee352c44a0ea0d40b3ae58ef98.html;PRESIDENTE INDUSTRIA E COMERCIO DE CAFE LTDA is located in UBERLANDIA, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
886;Distribuidora 4 K Ltda;0.43;Rio Casca;Minas Gerais;https://www.dnb.com/business-directory/company-profiles.distribuidora_4_k_ltda.5e9dab445637d85af2b6dab83501c7e4.html;DISTRIBUIDORA 4 K LTDA is located in RIO CASCA, MINAS GERAIS, Brazil and is part of the Coffee & Tea Manufacturing Industry.;"Coffee & Tea Manufacturing; Manufacturing Sector; Roasted coffee"
